ID,Heat treatment,Heat treatment ,Hot rolling deformation (%),Yield strength (MPa),Elongation (%)
1,650,1,0,470.23,69.32
2,750,5,0,468.47,68.7
3,850,10,0,434.94,72.51
4,950,15,0,394.53,78.29
5,1050,20,0,362.26,82.18
6,1050,15,20,377.75,78.15
7,950,10,20,399.05,75.03
8,850,5,20,613.19,53.39
9,750,1,20,700.46,49.44
10,650,20,20,827.46,40.76
11,650,15,30,897.42,35.42
12,750,10,30,793.37,40.48
13,850,20,30,594.08,50.53
14,950,1,30,441.99,69.56
15,1050,5,30,395.19,74.56
16,1050,1,40,429.82,67.24
17,950,5,40,451.36,66.3
18,850,15,40,593.98,45.55
19,750,20,40,790.98,39.15
20,650,10,40,983.38,33.63
21,650,5,50,938.12,32.69
22,750,15,50,844.78,36.77
23,850,1,50,807.42,35.94
24,950,20,50,462.32,64.45
25,1050,10,50,373.67,70.09
